symbol,side,amount,price
BTCUSDT,sell,0.01,279.35360000000003
BTCUSDT,buy,0.01,279.128
BTCUSDT,sell,0.01,273.29867392
BTCUSDT,buy,0.01,272.7675
BTCUSDT,sell,0.01,273.2583
BTCUSDT,buy,0.01,273.39443014
BTCUSDT,sell,0.01,273.0582
BTCUSDT,buy,0.01,273.3509
BTCUSDT,sell,0.01,273.1298
BTCUSDT,buy,0.01,272.8001
BTCUSDT,sell,0.01,272.5898
BTCUSDT,buy,0.01,272.934
BTCUSDT,sell,0.01,273.185
BTCUSDT,buy,0.01,273.0
BTCUSDT,sell,0.01,272.90937694
BTCUSDT,buy,0.01,272.8762
BTCUSDT,sell,0.01,272.4832
BTCUSDT,buy,0.01,272.4352
BTCUSDT,sell,0.01,272.26169999999996
BTCUSDT,buy,0.01,272.682
BTCUSDT,sell,0.01,272.8749
BTCUSDT,buy,0.01,272.7808
BTCUSDT,sell,0.01,272.8178
BTCUSDT,buy,0.01,272.63939999999997
BTCUSDT,sell,0.01,272.6896
BTCUSDT,buy,0.01,272.5591
BTCUSDT,sell,0.01,272.5105
BTCUSDT,buy,0.01,273.1393
BTCUSDT,sell,0.01,273.2427
BTCUSDT,buy,0.01,273.1927
BTCUSDT,sell,0.01,273.29990000000004
BTCUSDT,buy,0.01,273.35380000000004
BTCUSDT,sell,0.01,273.3902
BTCUSDT,buy,0.01,273.53720000000004
BTCUSDT,sell,0.01,273.324
BTCUSDT,buy,0.01,273.3207
BTCUSDT,sell,0.01,273.40225971999996
BTCUSDT,buy,0.01,273.28900000000004
BTCUSDT,sell,0.01,273.36
BTCUSDT,buy,0.01,273.2255
BTCUSDT,sell,0.01,272.8086
BTCUSDT,buy,0.01,272.7504
BTCUSDT,sell,0.01,272.6513
BTCUSDT,buy,0.01,272.534
BTCUSDT,sell,0.01,272.47810000000004
BTCUSDT,buy,0.01,272.2787
BTCUSDT,sell,0.01,272.4536
BTCUSDT,buy,0.01,272.396
BTCUSDT,sell,0.01,272.4384162
BTCUSDT,buy,0.01,272.4395
BTCUSDT,sell,0.01,272.48587259
BTCUSDT,buy,0.01,272.3825
BTCUSDT,sell,0.01,272.2634
BTCUSDT,buy,0.01,272.4399
BTCUSDT,sell,0.01,272.4918
BTCUSDT,buy,0.01,272.4621
BTCUSDT,sell,0.01,272.6059
