symbol,side,amount,price
BTCUSDT,buy,0.01,303.42060000000004
BTCUSDT,sell,0.01,302.62669999999997
BTCUSDT,buy,0.01,302.7257
BTCUSDT,sell,0.01,302.8165
BTCUSDT,buy,0.01,304.21731436000005
BTCUSDT,sell,0.01,304.22
BTCUSDT,buy,0.01,302.8739
BTCUSDT,sell,0.01,302.8144
BTCUSDT,buy,0.01,302.8145
BTCUSDT,sell,0.01,302.9894
BTCUSDT,buy,0.01,302.9895
BTCUSDT,sell,0.01,303.4067
BTCUSDT,buy,0.01,303.4888
BTCUSDT,sell,0.01,303.6075
BTCUSDT,buy,0.01,303.4418
BTCUSDT,sell,0.01,303.4599
BTCUSDT,buy,0.01,303.4577
BTCUSDT,sell,0.01,303.3773
BTCUSDT,buy,0.01,303.36226032
BTCUSDT,sell,0.01,303.5369
BTCUSDT,buy,0.01,303.4601
BTCUSDT,sell,0.01,303.51709999999997
BTCUSDT,buy,0.01,303.58840000000004
BTCUSDT,sell,0.01,303.5584
BTCUSDT,buy,0.01,303.6801
BTCUSDT,sell,0.01,303.41991648000004
BTCUSDT,buy,0.01,303.60110000000003
BTCUSDT,sell,0.01,303.2599
BTCUSDT,buy,0.01,302.92560000000003
BTCUSDT,sell,0.01,302.9855
BTCUSDT,buy,0.01,302.9655
BTCUSDT,sell,0.01,303.09450000000004
BTCUSDT,buy,0.01,302.74
